id_a	source_a	name_a	id_b	source_b	name_b	distance_m	name_score
011dcde6-5a6d-4771-8841-6640a68945ac	ddproperty	The Habitat Sukhumvit 53	fd9cef8f-6624-49c4-88c9-14be4e1254f0	dotproperty	The Habitat Sukhumvit 53	0.0	1.000
68ec521c-5e9f-4423-832e-6517688ce5cc	fazwaz	Silk Sanampao	89a0b640-6f8f-40a9-a1ba-a003bff7d133	dotproperty	Silk Sanampao	0.0	1.000
9aba98d7-bd41-4eb7-bccf-e2c9c03981cf	dotproperty	Quintara MHy’ZEN Phrom Phong	9c865b00-d028-48ed-959c-9a85ca41c6d1	fazwaz	Quintara MHy’ZEN Phrom Phong	0.0	1.000
9bb22a8c-bbc3-4f82-bedf-5c12e45128e3	dotproperty	Domus 16	eef7b189-b583-4b6e-88ee-0e881fe9b29a	fazwaz	Domus 16	0.0	1.000
525dc861-8358-4a37-8c24-b83c5377da9e	fazwaz	Bangna Place	9c612665-f194-4925-83a9-f0839b2d8d6e	dotproperty	Bangna Place	0.0	1.000
a1705df5-f595-4f63-830e-bb1a9d13bb3f	dotproperty	Lumpini Center Happyland	bda2ee98-4329-4727-93c8-b1e67c5ce597	fazwaz	Lumpini Center Happyland	0.0	1.000
4973d0d9-6175-4a47-9fb6-4643a890f376	fazwaz	Noble State 39	c855ec82-5580-4c03-99f8-903521b81340	dotproperty	NOBLE STATE 39	0.0	1.000
01ed4576-8f67-4753-8a8c-1f6f9667a841	fazwaz	Duliya Chalisma	d8693d0b-876b-494d-bab2-f9ddc28ed818	dotproperty	Duliya Chalisma	0.0	1.000
699420f1-4d37-4155-8539-8801f520371e	fazwaz	Modiz Interchange	e034c319-59dd-4f12-8fac-878ee4b6fc08	dotproperty	Modiz Interchange	0.0	1.000
00c8a882-1baa-487a-8654-e3d1b9be2811	fazwaz	Garden Asoke - Rama 9	ed0ac976-c6fa-4f0d-8afc-86126355c5a2	dotproperty	Garden Asoke - Rama 9	0.0	1.000
e9dcd5d2-dc53-4732-9d18-cea3e78aafb5	fazwaz	Still Sukhumvit 20	fce25e41-3a66-4c3c-aa10-37781978f304	dotproperty	Still Sukhumvit 20	0.0	1.000
77ccfcf0-dab4-43a8-b507-3a7bf8d056fe	fazwaz	Metris Pattanakarn - Ekkamai	fe0a4c41-51b4-4f86-8557-9f47e5b8fbdf	dotproperty	Metris Pattanakarn - Ekkamai	0.0	1.000
60b28a25-e589-4d8f-9366-55be07efc0c6	dotproperty	The Address Sathorn	e8c16c21-7598-4548-81ea-ae1782b25029	fazwaz	The Address Sathorn	0.5	1.000
e8c16c21-7598-4548-81ea-ae1782b25029	fazwaz	The Address Sathorn	f72d7a77-52be-4a61-9ea5-6ea6c09b444a	dotproperty	The Address Sathorn	0.5	1.000
2d0754d3-caa8-4fa8-92c7-bdef0c14e016	dotproperty	The LIVIN Phetkasem	a719f2b9-4dbd-467f-873b-d1d97e046171	fazwaz	The LIVIN Phetkasem	1.0	1.000
a719f2b9-4dbd-467f-873b-d1d97e046171	fazwaz	The LIVIN Phetkasem	d5bdd493-f069-4364-a4b1-b8ef73cec211	dotproperty	The LIVIN Phetkasem	1.0	1.000
46d35694-da31-4cb2-aff8-310af1ed4b57	dotproperty	Asoke Tower	89bf72c0-a7d6-41be-a01c-5ef1ce340dd9	fazwaz	Asoke Towers	1.0	1.000
cb6e13ee-4f04-4c88-8731-fa3828074135	dotproperty	Wyndham Residence	f25c6b72-04f4-4fd5-bb93-8a8ecdbc49f0	fazwaz	Wyndham Residence Bangkok	1.3	1.000
23f6eb95-9ba1-4fbc-9287-32b2e7a33daf	ddproperty	SO Origin Bangtao Beach	a99df756-b4c8-4064-baf4-86796fa3c6bf	dotproperty	So Origin Bangtao Beach	1.5	1.000
63236051-3d39-4a31-9f02-c04556fa5a49	dotproperty	Space Cherngtalay Condominium	dba1b29d-3e3f-4df9-8d3d-09d3ef801a0e	ddproperty	Space Cherngtalay Condominium	2.2	1.000
